,chemicalIdx,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN,CCl2H2,,,,,,,,,,,,,,
0,1,Iron(II) tetrafluoroborate hexahydrate,0.0229534,0.0252,2488.520219,0,,,,,,,,,,,,,,
1,2,Zinc tetrafluoroborate,0.016252,0.0224,3124.128312,0,,,,,,,,,,,,,,
2,3,Yittrium(III) trifluoromethanesulfonate,0.054039888,0.0563,3500.52539,0,,,,,,,,,,,,,,
3,4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0,0,0,0,,,,,,,,,,,,,,
4,5,Silver tetrafluoroborate,0.064318968,0.0653,11181.31539,0,,,,,,,,,,,,,,
5,6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0,0,0,0,,,,,,,,,,,,,,
6,7,"Pyridine-2,6-dicarbaldehyde",0,0,0,0,,,,,,,,,,,,,,
7,8,"2,2'-(Ethane-1,2-diyl)dianiline",0.034710559,0.037,3872.980882,0,,,,,,,,,,,,,,
8,9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.020586369,0.0352,1319.44913,3958.34739,,,,,,,,,,,,,,
9,10,"2,2'-Oxydiethanamine",0,0,0,0,,,,,,,,,,,,,,
10,11,"4,4'-Methylenedianiline",0.03241551,0.0345,3866.976025,0,,,,,,,,,,,,,,
11,12,",3-Benzenedimethanamine",0.022267065,0.023,3752.926875,0,,,,,,,,,,,,,,
12,13,"Adamantane-1,3-diamine",0,0,0,0,,,,,,,,,,,,,,
13,14,"4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline",0.048398316,0.0496,3163.305654,0,,,,,,,,,,,,,,
14,15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0,0,0,0,,,,,,,,,,,,,,
15,16,"[2,2'-Bipyridine]-4,4'-diamine",0,0,0,0,,,,,,,,,,,,,,
16,17,"Naphthalene-1,8-diamine",0.02197398,0.0242,3399.353842,0,,,,,,,,,,,,,,
17,18,"4,4'-Oxydianiline",0.027813336,0.0308,3418.120478,0,,,,,,,,,,,,,,
18,19,"6-Methyl-1,3,5-triazine-2,4-diamine",0,0,0,0,,,,,,,,,,,,,,
19,20,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",0,0,0,0,,,,,,,,,,No Transfer volume,1852.205326,,No Transfer volume,273.3333333
20,21,6-Methylpyridine-2-carboxaldehyde,0.036632736,0.038,3485.407151,0,,,,,,,,,,Volume Transferred,,,Actual transferred,CH2CL2 vaporates to fast
21,22,6-Phenylpicolinaldehyde,0,0,0,0,,,,,,,,,,,,,Leftover,1578.8
22,23,"[2,2'-Bipyridine]-6-carbaldehyde",0,0,0,0,,,,,,,,,,,,,Actual Leftover,1705
23,24,2-Quinolinecarboxaldehyde,0.024329916,0.0262,0,1852.205326,,273.3333333,1578.871993,,,,,,,,,,Minium transfer,
24,25,5-Methylpicolinaldehyde,0.03961278,0.0409,3751.398749,0,,,,,,,,,,,,,Minumtransfer with water,400 leftover
25,26,8-methoxyquinoline-2-carbaldehyde,0,0,0,0,,,,,,,,,,,,,,
26,27,"[1,8]Naphthyridine-2-carbaldehyde",0,0,0,0,,,,,,,,,,,,,,
27,28,4-Formyl-2-methylthiazole,0.07286268,0.0745,6509.734018,0,,,,,,,,,,,,,,
28,29,6-Methoxypyridine-2-carbaldehyde,0.041471136,0.044,3564.889083,0,,,,,,,,,,,,,,
29,30,1-Methyl-2-imidazolecarboxaldehyde,0.033297264,0.0359,3622.639986,0,,,,,,,,,,,,,,
30,31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0,0,0,0,,,,,,,,,,,,,,
31,32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0,0,0,0,,,,,,,,,,,,,,
